,Municipio,Estado,desmatamento_pro
461,Arari,MA,0.3741704035874439
462,Axixá,MA,0.15170731707317073
463,Bacabal,MA,0.7052785923753666
464,Bacabeira,MA,0.16576
465,Bacuri,MA,0.6319496855345912
466,Bacurituba,MA,0.023684210526315787
467,Balsas,MA,0.0
468,Barra do Corda,MA,0.41503391107761867
469,Bela Vista do Maranhão,MA,0.8639455782312925
470,Benedito Leite,MA,0.0
471,Bequimão,MA,0.6016688061617458
472,Bernardo do Mearim,MA,0.7356060606060606
473,Boa Vista do Gurupi,MA,0.8321867321867321
474,Bom Jardim,MA,0.5607551143200963
475,Bom Jesus das Selvas,MA,0.8557037037037037
476,Bom Lugar,MA,1.0017738359201773
477,Brejo de Areia,MA,1.0002739726027399
478,Buriticupu,MA,0.790303738317757
479,Buritirana,MA,0.8597087378640776
480,Cajapió,MA,0.09248366013071896
481,Cajari,MA,0.1206896551724138
482,Campestre do Maranhão,MA,0.667799352750809
483,Cândido Mendes,MA,0.5778593272171254
484,Cantanhede,MA,0.3252873563218391
485,Capinzal do Norte,MA,0.3785953177257525
486,Carolina,MA,0.0
487,Carutapera,MA,0.5368845843422115
488,Cedral,MA,0.788659793814433
489,Central do Maranhão,MA,0.6997297297297297
490,Centro do Guilherme,MA,0.8532287822878228
491,Centro Novo do Maranhão,MA,0.2865530075639332
492,Cidelândia,MA,0.8951153324287653
493,Colinas,MA,0.11004475385380408
494,Conceição do Lago-Açu,MA,0.715633423180593
495,Coroatá,MA,0.46248912097476064
496,Cururupu,MA,0.49457489878542504
497,Davinópolis,MA,0.8646017699115045
498,Dom Pedro,MA,0.6334224598930481
499,Esperantinópolis,MA,0.9267489711934156
500,Estreito,MA,0.0039093898428936786
501,Feira Nova do Maranhão,MA,0.0
502,Fernando Falcão,MA,0.011361714124612348
503,Formosa da Serra Negra,MA,0.008926326376665829
504,Fortaleza dos Nogueiras,MA,0.0
505,Fortuna,MA,0.49971671388101985
506,Godofredo Viana,MA,0.4511695906432749
507,Gonçalves Dias,MA,0.713963963963964
508,Governador Archer,MA,0.4513574660633484
509,Governador Edison Lobão,MA,0.46494345718901453
510,Governador Eugênio Barros,MA,0.46827503015681543
511,Governador Luiz Rocha,MA,0.6209549071618037
512,Governador Newton Bello,MA,0.9941176470588234
513,Governador Nunes Freire,MA,0.9683253588516746
514,Graça Aranha,MA,0.8374545454545455
515,Grajaú,MA,0.20156065573770493
516,Guimarães,MA,0.615728476821192
517,Igarapé do Meio,MA,0.5493702770780856
518,Igarapé Grande,MA,1.0026385224274406
519,Imperatriz,MA,0.8173090909090909
520,Itaipava do Grajaú,MA,0.8900478468899522
521,Itapecuru Mirim,MA,0.40435073627844714
522,Itinga do Maranhão,MA,0.757364771151179
523,Jatobá,MA,0.44498327759197326
524,Jenipapo dos Vieiras,MA,0.5791519434628976
525,João Lisboa,MA,0.9344827586206897
526,Joselândia,MA,0.7337192474674384
527,Junco do Maranhão,MA,0.9774999999999999
528,Lago da Pedra,MA,1.0000644329896906
529,Lago do Junco,MA,1.0012820512820513
530,Lago Verde,MA,0.846434231378764
531,Lago dos Rodrigues,MA,1.0040816326530613
532,Lagoa Grande do Maranhão,MA,0.9701754385964912
533,Lajeado Novo,MA,0.24629981024667935
534,Lima Campos,MA,0.37784615384615383
535,Loreto,MA,0.0
536,Luís Domingues,MA,0.6834051724137932
537,Maracaçumé,MA,0.8598425196850393
538,Marajá do Sena,MA,0.9054483541430194
539,Maranhãozinho,MA,0.7833843017329256
540,Matinha,MA,0.7028985507246377
541,Matões do Norte,MA,0.5460277427490542
542,Mirador,MA,0.0
543,Miranda do Norte,MA,0.7352941176470589
544,Mirinzal,MA,0.9791666666666666
545,Monção,MA,0.7199706314243759
546,Montes Altos,MA,0.12421614409606403
547,Nova Colinas,MA,0.0
548,Nova Iorque,MA,0.0
549,Nova Olinda do Maranhão,MA,0.4868495361032675
550,Olho d'Água das Cunhãs,MA,1.0008522727272728
551,Olinda Nova do Maranhão,MA,0.9215000000000001
552,Paço do Lumiar,MA,0.6014925373134328
553,Palmeirândia,MA,0.8285714285714286
554,Pastos Bons,MA,0.0
555,Paulo Ramos,MA,1.0009407337723424
556,Pedreiras,MA,0.6184931506849315
557,Pedro do Rosário,MA,0.9502259887005651
558,Penalva,MA,0.6209595959595959
559,Peri Mirim,MA,0.6034229828850856
560,Peritoró,MA,0.31806220095693777
561,Pindaré-Mirim,MA,0.736
562,Pinheiro,MA,0.597638326585695
563,Pio XII,MA,0.8709090909090909
564,Pirapemas,MA,0.4173352435530086
565,Poção de Pedras,MA,0.8895927601809954
566,Porto Franco,MA,0.4056061667834618
567,Porto Rico do Maranhão,MA,0.5592417061611374
568,Presidente Dutra,MA,0.9237267080745342
569,Presidente Juscelino,MA,0.19583333333333333
570,Presidente Médici,MA,0.9984126984126984
571,Presidente Sarney,MA,0.7887978142076503
572,Raposa,MA,0.23125
573,Riachão,MA,0.0
574,Ribamar Fiquene,MA,0.5909933774834437
575,Rosário,MA,0.14575539568345322
576,Sambaíba,MA,0.0
577,Santa Filomena do Maranhão,MA,0.14166666666666666
578,Santa Helena,MA,0.6157173447537474
579,Santa Inês,MA,0.9849614395886889
580,Santa Luzia,MA,0.9249319455564451
581,Santa Luzia do Paruá,MA,0.9530837004405286
582,Santa Rita,MA,0.37339832869080786
583,Santo Antônio dos Lopes,MA,0.37746478873239436
584,São Bento,MA,0.7804301075268817
585,São Domingos do Azeitão,MA,0.0
586,São Domingos do Maranhão,MA,0.7687499999999999
587,São Félix de Balsas,MA,0.0
588,São Francisco do Brejão,MA,0.9599201065246338
589,São João Batista,MA,0.21228571428571427
590,São João do Carú,MA,0.6691935483870968
591,São João do Paraíso,MA,0.1255072463768116
592,São José de Ribamar,MA,0.26307692307692304
593,São José dos Basílios,MA,0.7620218579234972
594,São Luís,MA,0.4526817640047676
595,São Luís Gonzaga do Maranhão,MA,0.6666666666666666
596,São Mateus do Maranhão,MA,0.5822194199243379
597,São Pedro da Água Branca,MA,0.6328275862068966
598,São Pedro dos Crentes,MA,0.0
599,São Raimundo das Mangabeiras,MA,0.0
600,São Raimundo do Doca Bezerra,MA,0.9869718309859156
601,São Roberto,MA,1.003056768558952
602,São Vicente Ferrer,MA,0.7534351145038168
603,Satubinha,MA,0.7968680089485458
604,Senador La Rocque,MA,0.932878909382518
605,Serrano do Maranhão,MA,0.9025389025389026
606,Sítio Novo,MA,0.018911174785100286
607,Sucupira do Norte,MA,0.0
608,Tasso Fragoso,MA,0.0
609,Trizidela do Vale,MA,0.6831111111111111
610,Tufilândia,MA,0.9087591240875912
611,Tuntum,MA,0.35504282951091465
612,Turiaçu,MA,0.7497887053399923
613,Turilândia,MA,0.7967952910398953
614,Viana,MA,0.43154761904761907
615,Vila Nova dos Martírios,MA,0.815551839464883
616,Vitória do Mearim,MA,0.3332880434782609
617,Vitorino Freire,MA,0.9646815550041357
618,Zé Doca,MA,0.8297785069729287
619,Acorizal,MT,0.0
620,Água Boa,MT,0.005450173657493988
621,Alta Floresta,MT,0.558969508123748
622,Alto Araguaia,MT,0.0
623,Alto Boa Vista,MT,0.5551539491298527
624,Alto Garças,MT,0.0
625,Alto Paraguai,MT,0.2065206812652068
626,Alto Taquari,MT,0.0
627,Apiacás,MT,0.12001862653791481
628,Araguaiana,MT,0.12946122703207724
629,Araguainha,MT,0.0
630,Araputanga,MT,0.7676616915422886
631,Arenápolis,MT,0.893719806763285
632,Aripuanã,MT,0.1903820189023906
633,Barão de Melgaço,MT,0.0342540448735139
634,Barra do Bugres,MT,0.5576656775469833
635,Barra do Garças,MT,0.13955827684233546
636,Bom Jesus do Araguaia,MT,0.647337692666978
637,Brasnorte,MT,0.2835989749359335
638,Cáceres,MT,0.08156071970162712
639,Campinápolis,MT,0.00010053619302949061
640,Campo Novo do Parecis,MT,0.02888982782296398
641,Campo Verde,MT,0.041322486441385066
642,Campos de Júlio,MT,0.016659347094129702
643,Canabrava do Norte,MT,0.4853086062011011
644,Canarana,MT,0.17739852398523986
645,Carlinda,MT,0.7197352089366984
646,Castanheira,MT,0.6539994953318193
